+-----+----------------------------------------------------+------------+------------+-------------+--------+----------------+------------+-----------+-----------------+------------------+-----------------------+----------------+----------------+---------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns   | end_ns     | duration_ns | stream | category       | grid       | block     | regs_per_thread | shared_mem_bytes | comm_algorithm        | comm_size_hint | transfer_bytes | transfer_kind | full_name                                                                                                                                                                                                |
| 16  | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 4479843331 | 4479849348 | 6017        | 7      | compute_kernel | (112,1,1)  | (256,1,1) | 255             | 156168           |                       |                |                |               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                  |
| 17  | cross_device_reduce_1stage                         | 4479849412 | 4479857636 | 8224        | 7      | communication  | (2,1,1)    | (512,1,1) | 68              | 0                | AllReduce_custom_symm | 16             |                |               | void sglang::cross_device_reduce_1stage<__nv_bfloat16, (int)8>(sglang::RankData *, sglang::RankSignals, sglang::Signal *, T1 *, int, int)                                                                |
| 18  | kernel_cutlass_kernel_flashinfernormkernelsfuse... | 4479857252 | 4479860164 | 2912        | 7      | compute_kernel | (1,1,1)    | (128,1,1) | 104             | 28688            |                       |                |                |               | kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign_0            |
| 19  | router_gemm_kernel_float_output                    | 4479859780 | 4479863332 | 3552        | 3488   | compute_kernel | (384,1,1)  | (128,1,1) | 64              | 16               |                       |                |                |               | void router_gemm_kernel_float_output<__nv_bfloat16, (int)128, (int)8, (int)1, (int)384, (int)7168>(float *, const T1 *, const T1 *)                                                                      |
| 20  | cvt_fp16_to_fp4                                    | 4479860356 | 4479862564 | 2208        | 7      | compute_kernel | (1,1,1)    | (512,1,1) | 32              | 0                |                       |                |                |               | void cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                                        |
| 21  | device_kernel                                      | 4479862244 | 4479873028 | 10784       | 7      | compute_kernel | (1,4,1)    | (256,1,1) | 109             | 201728           |                       |                |                |               | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_1_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass:... |
| 22  | quantize_with_block_size                           | 4479862884 | 4479865924 | 3040        | 3488   | compute_kernel | (1,1,1)    | (512,1,1) | 30              | 0                |                       |                |                |               | void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)0, __nv_bfloat16, (int)16, (bool)0>(int, int, int, int, const T2 *, const float *, unsigned int *, uns... |
| 23  | routingIndicesBlockKernel                          | 4479864708 | 4479873284 | 8576        | 3488   | compute_kernel | (1,1,1)    | (384,1,1) | 40              | 4768             |                       |                |                |               | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, (int)384, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev:... |
| 24  | act_and_mul_kernel                                 | 4479871876 | 4479875044 | 3168        | 7      | compute_kernel | (1,1,1)    | (256,1,1) | 32              | 0                |                       |                |                |               | void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)                                                                           |
| 25  | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 4479872772 | 4479882180 | 9408        | 3488   | compute_kernel | (4,8,1)    | (512,1,1) | 128             | 202480           |                       |                |                |               | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                             |
