|   idx | short_name                                         |               start_ns |                 end_ns |    duration_ns |   stream | category             | grid             | block            | reg... | shared_me... | comm_algorithm | comm_si... | transfer_bytes | transfer_kind  | full_name                                                                                                                                                                                                |
|   226 | void at::native::unrolled_elementwise_kernel<at... |       3523299771862157 |       3523299771864621 |           2464 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     30 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std... |
|   227 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... |       3523299771862637 |       3523299771871469 |           8832 |     5518 | compute_kernel       | 1x56x1           | 256x1x1          |    109 |       201728 |                |            |                |                | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
|   228 | void moe::dev::routing::routingDeepSeek::routin... |       3523299771864909 |       3523299771869325 |           4416 |       23 | compute_kernel       | 1x1x1            | 384x1x1          |     32 |         3296 |                |            |                |                | void moe::dev::routing::routingDeepSeek::routingMainKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 384, 8, false, true, true> >(moe::dev::routing::rout... |
|   229 | void moe::dev::routing::routingDeepSeek::routin... |       3523299771866605 |       3523299771871565 |           4960 |       23 | compute_kernel       | 8x1x1            | 384x1x1          |     40 |         3200 |                |            |                |                | void moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 384, 8, false, true, true> >(moe::dev::rou... |
|   230 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... |       3523299771871501 |       3523299771881549 |          10048 |       23 | compute_kernel       | 4x8x1            | 512x1x1          |    128 |       202240 |                |            |                |                | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_cga1x1x1_16dp256b_rM_TN_transOut_schedS_biasM_bN_ldgsts_tmaOpt_clmp_swiGlu_dynBatch_sm100f                                       |
|   231 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... |       3523299771877485 |       3523299771885741 |           8256 |       23 | compute_kernel       | 56x8x1           | 512x1x1          |    128 |       124672 |                |            |                |                | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_cga1x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_tmaOpt_clmp_dynBatch_sm100f                                                 |
|   232 | void moe::dev::finalize::finalizeKernel<moe::de... |       3523299771883789 |       3523299771888013 |           4224 |       23 | compute_kernel       | 28x1x1           | 256x1x1          |     32 |            0 |                |            |                |                | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
|   233 | triton_poi_fused_add_mul_0                         |       3523299771888365 |       3523299771889901 |           1536 |       23 | compute_kernel       | 7x1x1            | 128x1x1          |     26 |            0 |                |            |                |                | triton_poi_fused_add_mul_0                                                                                                                                                                               |
|   234 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299771889901 |       3523299771900845 |          10944 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|   235 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299771901197 |       3523299771921101 |          19904 |       23 | compute_kernel       | 132x1x1          | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|   236 | triton_poi_fused_1                                 |       3523299771921421 |       3523299771923150 |           1729 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     40 |            0 |                |            |                |                | triton_poi_fused_1                                                                                                                                                                                       |
|   237 | triton_red_fused_2                                 |       3523299771923501 |       3523299771926094 |           2593 |       23 | compute_kernel       | 2x1x1            | 512x1x1          |     20 |           64 |                |            |                |                | triton_red_fused_2                                                                                                                                                                                       |
|   238 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299771926414 |       3523299771931821 |           5407 |       23 | compute_kernel       | 96x1x1           | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|   239 | triton_poi_fused_add_clone_copy_expand_index_mu... |       3523299771931981 |       3523299771933902 |           1921 |       23 | compute_kernel       | 2x1x1            | 128x1x1          |     56 |            0 |                |            |                |                | triton_poi_fused_add_clone_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                  |
|   240 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... |       3523299771934477 |       3523299771936653 |           2176 |       23 | compute_kernel       | 1x1x1            | 512x1x1          |     30 |            0 |                |            |                |                | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
|   241 | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                  |       3523299771937006 |       3523299771939853 |           2847 |       23 | compute_kernel       | 64x1x1           | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                        |
|   242 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... |       3523299771940173 |       3523299771941838 |           1665 |       23 | compute_kernel       | 18x1x1           | 128x1x1          |     32 |            0 |                |            |                |                | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
|   243 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... |       3523299771941838 |       3523299771950990 |           9152 |       23 | compute_kernel       | 74x2x1           | 512x1x1          |    128 |       161456 |                |            |                |                | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
|   244 | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                  |       3523299771951310 |       3523299771955021 |           3711 |       23 | compute_kernel       | 128x1x1          | 256x1x1          |    168 |       156168 |                |            |                |                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                        |
|   245 | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                  |       3523299771955437 |       3523299771960942 |           5505 |       23 | compute_kernel       | 112x1x1          | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                        |
|   246 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299771960621 |       3523299771968237 |           7616 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|   247 | memcpy32_post                                      |       3523299771968781 |       3523299771970061 |           1280 |       23 | memory_transfer      | 14x1x1           | 256x1x1          |     16 |            0 |                |            |                | kernel_memcpy  | memcpy32_post                                                                                                                                                                                            |
|   248 | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                  |       3523299771970606 |       3523299771981741 |          11135 |       23 | compute_kernel       | 48x1x1           | 256x1x1          |    168 |       156168 |                |            |                |                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                        |
|   249 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... |       3523299771970606 |       3523299771973485 |           2879 |     5518 | compute_kernel       | 128x1x1          | 448x1x1          |     31 |            0 |                |            |                |                | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
|   250 | _ZN7cutlass13device_kernelIN10flashinfer4gemm57... |       3523299771973453 |       3523299771982766 |           9313 |     5518 | compute_kernel       | 1x8x1            | 256x1x1          |     81 |       218112 |                |            |                |                | _ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloat16_128_64_128_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collecti... |
|   251 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... |       3523299771982189 |       3523299771984942 |           2753 |       23 | compute_kernel       | 1x1x1            | 448x1x1          |     29 |            0 |                |            |                |                | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                               |
|   252 | triton_poi_fused_mul_silu_slice_0                  |       3523299771983214 |       3523299771985358 |           2144 |     5518 | compute_kernel       | 1x1x1            | 128x1x1          |     16 |            0 |                |            |                |                | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
|   253 | void at::native::vectorized_elementwise_kernel<... |       3523299771985358 |       3523299771988046 |           2688 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     32 |            0 |                |            |                |                | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
|   254 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... |       3523299771985838 |       3523299771987469 |           1631 |     5518 | compute_kernel       | 128x1x1          | 16x1x1           |     31 |            0 |                |            |                |                | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
|   255 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... |       3523299771987661 |       3523299771992781 |           5120 |     5518 | compute_kernel       | 1x56x1           | 256x1x1          |    109 |       201728 |                |            |                |                | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
|   256 | void at::native::unrolled_elementwise_kernel<at... |       3523299771988749 |       3523299771992141 |           3392 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     30 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std... |
|   257 | void moe::dev::routing::routingDeepSeek::routin... |       3523299771992141 |       3523299771996782 |           4641 |       23 | compute_kernel       | 1x1x1            | 384x1x1          |     32 |         3296 |                |            |                |                | void moe::dev::routing::routingDeepSeek::routingMainKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 384, 8, false, true, true> >(moe::dev::routing::rout... |
|   258 | void moe::dev::routing::routingDeepSeek::routin... |       3523299771993774 |       3523299771999278 |           5504 |       23 | compute_kernel       | 8x1x1            | 384x1x1          |     40 |         3200 |                |            |                |                | void moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 384, 8, false, true, true> >(moe::dev::rou... |
|   259 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... |       3523299771999149 |       3523299772008941 |           9792 |       23 | compute_kernel       | 4x8x1            | 512x1x1          |    128 |       202240 |                |            |                |                | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_cga1x1x1_16dp256b_rM_TN_transOut_schedS_biasM_bN_ldgsts_tmaOpt_clmp_swiGlu_dynBatch_sm100f                                       |
|   260 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... |       3523299772004909 |       3523299772012462 |           7553 |       23 | compute_kernel       | 56x8x1           | 512x1x1          |    128 |       124672 |                |            |                |                | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_cga1x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_tmaOpt_clmp_dynBatch_sm100f                                                 |
|   261 | void moe::dev::finalize::finalizeKernel<moe::de... |       3523299772010989 |       3523299772014733 |           3744 |       23 | compute_kernel       | 28x1x1           | 256x1x1          |     32 |            0 |                |            |                |                | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
|   262 | triton_poi_fused_add_mul_0                         |       3523299772015086 |       3523299772016526 |           1440 |       23 | compute_kernel       | 7x1x1            | 128x1x1          |     26 |            0 |                |            |                |                | triton_poi_fused_add_mul_0                                                                                                                                                                               |
|   263 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299772016749 |       3523299772025165 |           8416 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|   264 | void at::native::unrolled_elementwise_kernel<at... |       3523299772027309 |       3523299772030062 |           2753 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     32 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std:... |
|   265 | void at::native::index_elementwise_kernel<128, ... |       3523299772032846 |       3523299772037070 |           4224 |       23 | compute_kernel       | 14x1x1           | 128x1x1          |     42 |            0 |                |            |                |                | void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<... |
|   266 | nvjet_tst_192x8_64x8_4x1_v_bz_TNT                  |       3523299772038989 |       3523299772085134 |          46145 |       23 | compute_kernel       | 108x1x1          | 256x1x1          |    168 |       221512 |                |            |                |                | nvjet_tst_192x8_64x8_4x1_v_bz_TNT                                                                                                                                                                        |
|   267 | ncclDevKernel_AllGather_RING_LL(ncclDevKernelAr... |       3523299772086765 |       3523299772108366 |          21601 |       23 | communication        | 10x1x1           | 512x1x1          |     96 |       103808 | ring           |            |                |                | ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)                                                                                                                                        |
|   268 | void at::native::unrolled_elementwise_kernel<at... |       3523299772110990 |       3523299772114926 |           3936 |       23 | compute_kernel       | 320x1x1          | 128x1x1          |     30 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std... |
|   269 | void at::native::elementwise_kernel<128, 2, at:... |       3523299772117070 |       3523299772119790 |           2720 |       23 | compute_kernel       | 640x1x1          | 128x1x1          |     21 |            0 |                |            |                |                | void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> > >(at::TensorIteratorBa... |
|   270 | void at::native::(anonymous namespace)::cunn_So... |       3523299772121166 |       3523299772165902 |          44736 |       23 | compute_kernel       | 1x1x1            | 1024x1x1         |     31 |          128 |                |            |                |                | void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)                                |
|   271 | void at::native::(anonymous namespace)::distrib... |       3523299772168014 |       3523299772171246 |           3232 |       23 | compute_kernel       | 640x1x1          | 256x1x1          |     56 |            0 |                |            |                |                | void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::uniform_and_transform<float, float, at::CUDAGeneratorImpl*, at::native::te... |
|   272 | void at::native::vectorized_elementwise_kernel<... |       3523299772172142 |       3523299772174350 |           2208 |       23 | compute_kernel       | 160x1x1          | 128x1x1          |     33 |            0 |                |            |                |                | void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFu... |
|   273 | Memset (Device)                                    |       3523299772176814 |       3523299772177902 |           1088 |       23 | memory_transfer      |                  |                  |        |              |                |            |              4 | memset         | Memset (Device)                                                                                                                                                                                          |
|   274 | void at::native::reduce_kernel<512, 1, at::nati... |       3523299772179310 |       3523299772187822 |           8512 |       23 | compute_kernel       | 1x20x1           | 512x1x1          |     32 |         8208 |                |            |                |                | void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, 4, 4> >(at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, ... |
|   275 | void at::native::unrolled_elementwise_kernel<at... |       3523299772189518 |       3523299772191950 |           2432 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     31 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(int)#1}, std::... |
|   276 | Memcpy HtoD (Pinned -> Device)                     |       3523299772199406 |       3523299772203374 |           3968 |       23 | memory_transfer      |                  |                  |        |              |                |            |          16384 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   277 | Memcpy DtoH (Device -> Pinned)                     |       3523299772202350 |       3523299772204718 |           2368 |       31 | memory_transfer      |                  |                  |        |              |                |            |              4 | DtoH           | Memcpy DtoH (Device -> Pinned)                                                                                                                                                                           |
|   278 | Memcpy HtoD (Pinned -> Device)                     |       3523299772206990 |       3523299772208334 |           1344 |       23 | memory_transfer      |                  |                  |        |              |                |            |              8 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   279 | Memcpy HtoD (Pinned -> Device)                     |       3523299772213742 |       3523299772216974 |           3232 |       23 | memory_transfer      |                  |                  |        |              |                |            |           4100 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   280 | Memcpy HtoD (Pinned -> Device)                     |       3523299772219022 |       3523299772222254 |           3232 |       23 | memory_transfer      |                  |                  |        |              |                |            |           4096 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   281 | Memcpy HtoD (Pinned -> Device)                     |       3523299772231022 |       3523299772232046 |           1024 |       23 | memory_transfer      |                  |                  |        |              |                |            |              1 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   282 | Memcpy DtoD (Device -> Device)                     |       3523299772234382 |       3523299772235950 |           1568 |       23 | memory_transfer      |                  |                  |        |              |                |            |              4 | DtoD           | Memcpy DtoD (Device -> Device)                                                                                                                                                                           |
|   283 | Memcpy HtoD (Pinned -> Device)                     |       3523299772238222 |       3523299772239310 |           1088 |       23 | memory_transfer      |                  |                  |        |              |                |            |              8 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   284 | void at::native::unrolled_elementwise_kernel<at... |       3523299772241262 |       3523299772242926 |           1664 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     22 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, a... |
|   285 | Memcpy HtoD (Pinned -> Device)                     |       3523299772245358 |       3523299772246446 |           1088 |       23 | memory_transfer      |                  |                  |        |              |                |            |              1 | HtoD           | Memcpy HtoD (Pinned -> Device)                                                                                                                                                                           |
|   286 | triton_poi_fused_add_bitwise_and_bitwise_or_ge_... |       3523299772248334 |       3523299772250126 |           1792 |       23 | compute_kernel       | 1x1x1            | 32x1x1           |     20 |            0 |                |            |                |                | triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0                                                                                                                                              |
|   287 | triton_poi_fused_bitwise_and_bitwise_not_bitwis... |       3523299772252238 |       3523299772253678 |           1440 |       23 | compute_kernel       | 1x1x1            | 32x1x1           |     16 |            0 |                |            |                |                | triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1                                                                                                                                              |
|   288 | void at::native::(anonymous namespace)::indexSe... |       3523299772256078 |       3523299772258510 |           2432 |       23 | compute_kernel       | 56x1x1           | 128x1x1          |     26 |            0 |                |            |                |                | void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c1... |
|   289 | void at::native::elementwise_kernel<128, 4, at:... |       3523299772260174 |       3523299772263598 |           3424 |       23 | compute_kernel       | 14x1x1           | 128x1x1          |     21 |            0 |                |            |                |                | void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator... |
|   290 | Memcpy DtoD (Device -> Device)                     |       3523299772266318 |       3523299772268046 |           1728 |       23 | memory_transfer      |                  |                  |        |              |                |            |          14336 | DtoD           | Memcpy DtoD (Device -> Device)                                                                                                                                                                           |
|   291 | void vllm::cross_device_reduce_1stage<__nv_bflo... |       3523299772270414 |       3523299772285582 |          15168 |       23 | compute_kernel       | 2x1x1            | 512x1x1          |     71 |            0 |                |            |                |                | void vllm::cross_device_reduce_1stage<__nv_bfloat16, 8>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __nv_bfloat16*, int, int)                                                                     |
|   292 | Memcpy DtoD (Device -> Device)                     |       3523299772287086 |       3523299772288590 |           1504 |       23 | memory_transfer      |                  |                  |        |              |                |            |          14336 | DtoD           | Memcpy DtoD (Device -> Device)                                                                                                                                                                           |
|   293 | triton_red_fused__to_copy_add_clone_mean_mul_po... |       3523299772294414 |       3523299772298414 |           4000 |       23 | compute_kernel       | 1x1x1            | 512x1x1          |     32 |           64 |                |            |                |                | triton_red_fused__to_copy_add_clone_mean_mul_pow_rsqrt_0                                                                                                                                                 |
|   294 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299772298958 |       3523299772318062 |          19104 |       23 | compute_kernel       | 132x1x1          | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|   295 | triton_poi_fused_1                                 |       3523299772318350 |       3523299772320142 |           1792 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     40 |            0 |                |            |                |                | triton_poi_fused_1                                                                                                                                                                                       |
|   296 | triton_red_fused_2                                 |       3523299772320494 |       3523299772322670 |           2176 |       23 | compute_kernel       | 2x1x1            | 512x1x1          |     20 |           64 |                |            |                |                | triton_red_fused_2                                                                                                                                                                                       |
|   297 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299772322990 |       3523299772328494 |           5504 |       23 | compute_kernel       | 96x1x1           | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|   298 | triton_poi_fused_add_clone_copy_expand_index_mu... |       3523299772328814 |       3523299772330702 |           1888 |       23 | compute_kernel       | 2x1x1            | 128x1x1          |     56 |            0 |                |            |                |                | triton_poi_fused_add_clone_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                  |
|   299 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... |       3523299772331022 |       3523299772333582 |           2560 |       23 | compute_kernel       | 1x1x1            | 512x1x1          |     30 |            0 |                |            |                |                | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
|   300 | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                  |       3523299772333902 |       3523299772336654 |           2752 |       23 | compute_kernel       | 64x1x1           | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                        |
|   301 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... |       3523299772337070 |       3523299772338574 |           1504 |       23 | compute_kernel       | 18x1x1           | 128x1x1          |     32 |            0 |                |            |                |                | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
|   302 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... |       3523299772339214 |       3523299772348366 |           9152 |       23 | compute_kernel       | 74x2x1           | 512x1x1          |    128 |       161456 |                |            |                |                | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
|   303 | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                  |       3523299772348686 |       3523299772352494 |           3808 |       23 | compute_kernel       | 128x1x1          | 256x1x1          |    168 |       156168 |                |            |                |                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                        |
|   304 | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                  |       3523299772353102 |       3523299772358382 |           5280 |       23 | compute_kernel       | 112x1x1          | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                        |
|   305 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299772358542 |       3523299772367822 |           9280 |       23 | communication        | 7x1x1            | 128x1x1          |     71 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)3, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|   306 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... |       3523299772368654 |       3523299772380430 |          11776 |       23 | compute_kernel       | 1x36x1           | 256x1x1          |    109 |       201728 |                |            |                |                | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_1_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
|   307 | triton_poi_fused_mul_scaled_fp4_quant_silu_slice_0 |       3523299772380751 |       3523299772382222 |           1471 |       23 | compute_kernel       | 3x1x1            | 128x1x1          |     32 |            0 |                |            |                |                | triton_poi_fused_mul_scaled_fp4_quant_silu_slice_0                                                                                                                                                       |
